ingredient,unit_of_measure,grocery_list_unit,conversion_rate,is_standard_conversion,___
allspice,small spoon,gr,5,FALSE,
almond,gr,gr,,,
anchovy,gr,gr,,,
anise for dessert,spoon,gr,10,FALSE,
apple,unit,unit,,,
apple sweetener,spoon,gr,15,FALSE,
apple cider vinegar,small spoon,small spoon,,,
artichoke,unit,unit,,,
avocado,unit,unit,,,
baby chard,gr,gr,,,
bacon,slice,gr,20,FALSE,
baking powder,package,gr,200,FALSE,
baking powder,small spoon,gr,5,FALSE,
baking soda,gr,gr,,,
baking soda,small spoon,gr,10,FALSE,
banana,kg,kg,,,
banana,unit,kg,0.2,FALSE,
basil leaf,bunch,gr,30,FALSE,
basil leaf,unit,leaf,1,TRUE,
basmati rice,gr,kg,0.001,TRUE,
basmati rice,kg,kg,,,
bay leaf,unit,unit,,,
beef meat,escalope,kg,0.2,FALSE,
beef meat,gr,kg,0.001,TRUE,
beef meat,kg,kg,,,
beetroot,gr,gr,,,
beetroot,unit,gr,100,FALSE,
bell pepper,gr,gr,,,
bell pepper,unit,gr,250,FALSE,
black cardamom,unit,unit,,,
black olive,gr,gr,,,
black olive,unit,gr,10,FALSE,
pitted olive,gr,gr,,,
black pepper seed,unit,unit,,,
black pepper seed,small spoon,unit,10,FALSE,
black-eyed pea,glass,gr,150,FALSE,
black-eyed pea,kg,gr,1000,,
black tea,ml,ml,,,
boiled chickpea,gr,gr,,,
boneless chicken thigh,kg,kg,,,
breadcrumb,glass,gr,80,FALSE,
breadcrumb,gr,gr,,,
breadcrumb,spoon,gr,10,FALSE,
brown mustard seed,small spoon,small spoon,,,
brown sugar,spoon,spoon,,,
bulgur,glass,gr,100,FALSE,
bulgur,gr,gr,,,
butter,gr,gr,,,
butter,small spoon,gr,10,FALSE,
butter,spoon,gr,30,FALSE,
butter,,,,,
cabbage,gr,gr,,,
cabbage,unit,unit,,,
calamari,kg,kg,,,
canned pea,can,gr,350,FALSE,
caper,gr,gr,,,
caper,small spoon,gr,10,FALSE,
carrot,kg,gr,1000,,
carrot,gr,gr,,,
carrot,unit,gr,100,FALSE,
cauliflower,kg,gr,1000,,
cashew,gr,gr,,,
celery root,unit,unit,,,
chaat masala,small spoon,small spoon,,,
champignon mushroom,gr,gr,,,
champignon mushroom,unit,gr,50,FALSE,
cheddar cheese,gr,gr,,,
cherry in sirup,,,,,
cherry sirup,bottle,bottle,,,
cherry tomato,gr,gr,,,
cherry tomato,unit,unit,,,
chicken,gr,gr,,,
chicken,unit,gr,600,FALSE,
chicken,kg,gr,1000,TRUE,
chicken breast,gr,gr,,,
chicken leg,unit,unit,,,
chicken thigh,gr,gr,,,
chicken thigh,kg,gr,1000,TRUE,
chicken thigh,unit,gr,200,FALSE,
chickpea,glass,glass,,,
chickpea flour,gr,gr,,,
chili powder,small spoon,small spoon,,,
chives,unit,unit,,,
cilantro,bunch,bunch,,,
cinnamon stick,unit,unit,,,
clove,unit,unit,,,
coconut,glass,glass,,,
coconut milk,lt,ml,1000,TRUE,
coconut milk,ml,ml,,,
coffee,small cup,ml,50,TRUE,
cokelec turkish cheese,gr,gr,,,
coloured candy,package,gr,300,FALSE,
concentrated tomato paste,ml,ml,,,
concentrated tomato paste,spoon,spoon,,,
cooked wine,glass,ml,200,TRUE,
cookie,gr,gr,,,
coriander seed,spoon,gr,15,FALSE,
coriander seed,small spoon,gr,5,FALSE,
corn meal flour,gr,gr,,,
corn oil,glass,ml,200,TRUE,
corn oil,lt,ml,1000,TRUE,
corn oil,ml,ml,,,
corn oil,spoon,ml,30,TRUE,
corn oil,,,,,
cornstarch,gr,gr,,,
cottage cheese,gr,gr,,,
couscous,gr,gr,,,
crushed chillies,small spoon,gr,5,FALSE,
crushed chillies,spoon,gr,15,FALSE,
cucumber,unit,unit, , ,
cumin seed,small spoon,small spoon,,,
curry leaf,unit,unit,,,
curry powder,small spoon,small spoon,,,
dark chocolate,gr,gr,,,
dark chocolate,bar,gr,100,FALSE,
deer meat,kg,gr,1000,,
dijon mustard,spoon,spoon,,,
dill,glass,gr,30,FALSE,
dill,spoon,gr,10,FALSE,
dried apricot,gr,gr,,,
dried apricot,unit,gr,20,FALSE,
dried cherries,gr,gr,,,
dried fig,gr,gr,,,
dried plum,gr,gr,,,
dry bell pepper,unit,unit, , ,
dry blackcurrant,gr,gr,,,
dry chickpea,gr,gr,,,
dry coconut shred,gr,gr,,,
dry cod,gr,gr,,,
